knummer_fra;kommunenavn_fra;kommunenr_2020;kommune_2020
0935;Iveland (-2019);4218;Iveland
0937;Evje og Hornnes (1960-2019);4219;Evje og Hornnes
1539;Rauma;1539;Rauma
0938;Bygland (-2019);4220;Bygland
0940;Valle (-2019);4221;Valle
0941;Bykle (-2019);4222;Bykle
1547;Aukra;1547;Aukra
1001;Kristiansand (-2019);4204;Kristiansand
1002;Mandal (-2019);4205;Lindesnes
1554;Averøy;1554;Averøy
1003;Farsund (-2019);4206;Farsund
1004;Flekkefjord (-2019);4207;Flekkefjord
1014;Vennesla (-2019);4223;Vennesla
1557;Gjemnes;1557;Gjemnes
1017;Songdalen (1964-2019);4204;Kristiansand
1018;Søgne (-2019);4204;Kristiansand
1021;Marnardal (1964-2019);4205;Lindesnes
1560;Tingvoll;1560;Tingvoll
1026;Åseral (-2019);4224;Åseral
1027;Audnedal (1964-2019);4225;Lyngdal
1029;Lindesnes (1964-2019);4205;Lindesnes
1563;Sunndal;1563;Sunndal
1032;Lyngdal (-2019);4225;Lyngdal
1034;Hægebostad (-2019);4226;Hægebostad
1037;Kvinesdal (-2019);4227;Kvinesdal
1046;Sirdal (1960-2019);4228;Sirdal
1566;Surnadal;1566;Surnadal
1573;Smøla;1573;Smøla
1576;Aure;1576;Aure
1444;Hornindal (-2019);1577;Volda
1519;Volda (-2019);1577;Volda
1524;Norddal (-2019);1578;Fjord
1526;Stordal (-2019);1578;Fjord
1548;Fræna (-2019);1579;Hustadvika
1551;Eide (-2019);1579;Hustadvika
3801;Horten;3801;Horten
1804;Bodø;1804;Bodø
3802;Holmestrand;3802;Holmestrand
3803;Tønsberg;3803;Tønsberg
1201;Bergen (1972-2019);4601;Bergen
3804;Sandefjord;3804;Sandefjord
1211;Etne (-2019);4611;Etne
3805;Larvik;3805;Larvik
1216;Sveio (-2019);4612;Sveio
3806;Porsgrunn;3806;Porsgrunn
1219;Bømlo (1916-2019);4613;Bømlo
3807;Skien;3807;Skien
1221;Stord (-2019);4614;Stord
3808;Notodden;3808;Notodden
1805;Narvik (-2019);1806;Narvik
3811;Færder;3811;Færder
3812;Siljan;3812;Siljan
1222;Fitjar (-2019);4615;Fitjar
3813;Bamble;3813;Bamble
1223;Tysnes (-2019);4616;Tysnes
3814;Kragerø;3814;Kragerø
1850;Divtasvuodna - Tysfjord (-2019);1806;Narvik
3815;Drangedal;3815;Drangedal
3816;Nome;3816;Nome
3817;Midt-Telemark;3817;Midt-Telemark
3818;Tinn;3818;Tinn
1224;Kvinnherad (-2019);4617;Kvinnherad
3819;Hjartdal;3819;Hjartdal
1227;Jondal (-2019);4618;Ullensvang
3820;Seljord;3820;Seljord
1228;Odda (1913-2019);4618;Ullensvang
3821;Kviteseid;3821;Kviteseid
1231;Ullensvang (1977-2019);4618;Ullensvang
3822;Nissedal;3822;Nissedal
1232;Eidfjord (-2019);4619;Eidfjord
3823;Fyresdal;3823;Fyresdal
1233;Ulvik (-2019);4620;Ulvik
3824;Tokke;3824;Tokke
1234;Granvin (-2019);4621;Voss
3825;Vinje;3825;Vinje
1811;Bindal;1811;Bindal
1235;Voss (-2019);4621;Voss
1238;Kvam (-2019);4622;Kvam
1241;Fusa (-2019);4624;Bjørnafjorden
1242;Samnanger (1907-2019);4623;Samnanger
1243;Os (Hordaland) (-2019);4624;Bjørnafjorden
1244;Austevoll (-2019);4625;Austevoll
1245;Sund (-2019);4626;Øygarden
1246;Fjell (-2019);4626;Øygarden
1247;Askøy (-2019);4627;Askøy
1812;Sømna;1812;Sømna
1251;Vaksdal (1964-2019);4628;Vaksdal
1252;Modalen (1910-2019);4629;Modalen
1253;Osterøy (1964-2019);4630;Osterøy
1256;Meland (1924-2019);4631;Alver
1259;Øygarden (1964-2019);4626;Øygarden
1813;Brønnøy;1813;Brønnøy
1260;Radøy (1964-2019);4631;Alver
1263;Lindås (-2019);4631;Alver
1264;Austrheim (1910-2019);4632;Austrheim
1265;Fedje (1948-2019);4633;Fedje
1266;Masfjorden (-2019);4634;Masfjorden
1815;Vega;1815;Vega
1401;Flora (1964-2019);4602;Kinn
1411;Gulen (-2019);4635;Gulen
1412;Solund (-2019);4636;Solund
1413;Hyllestad (-2019);4637;Hyllestad
1416;Høyanger (1964-2019);4638;Høyanger
1816;Vevelstad;1816;Vevelstad
1417;Vik (-2019);4639;Vik
1418;Balestrand (-2019);4640;Sogndal
1419;Leikanger (-2019);4640;Sogndal
1420;Sogndal (-2019);4640;Sogndal
1421;Aurland (-2019);4641;Aurland
1818;Herøy (Nordland);1818;Herøy (Nordland)
1422;Lærdal (-2019);4642;Lærdal
1424;Årdal (-2019);4643;Årdal
1426;Luster (-2019);4644;Luster
1428;Askvoll (-2019);4645;Askvoll
1429;Fjaler (-2019);4646;Fjaler
1430;Gaular (-2019);4647;Sunnfjord
1431;Jølster (-2019);4647;Sunnfjord
1432;Førde (-2019);4647;Sunnfjord
4201;Risør;4201;Risør
1433;Naustdal (-2019);4647;Sunnfjord
4202;Grimstad;4202;Grimstad
1438;Bremanger (-2019);4648;Bremanger
4203;Arendal;4203;Arendal
1820;Alstahaug;1820;Alstahaug
4204;Kristiansand;4204;Kristiansand
4205;Lindesnes;4205;Lindesnes
1439;Vågsøy (1964-2019);4602;Kinn
4206;Farsund;4206;Farsund
1441;Selje (-2019);4649;Stad
4207;Flekkefjord;4207;Flekkefjord
1443;Eid (-2019);4649;Stad
4211;Gjerstad;4211;Gjerstad
1445;Gloppen (-2019);4650;Gloppen
4212;Vegårshei;4212;Vegårshei
1822;Leirfjord;1822;Leirfjord
4213;Tvedestrand;4213;Tvedestrand
4214;Froland;4214;Froland
1449;Stryn (1977-2019);4651;Stryn
4215;Lillesand;4215;Lillesand
1824;Vefsn;1824;Vefsn
4216;Birkenes;4216;Birkenes
4217;Åmli;4217;Åmli
1825;Grane;1825;Grane
4218;Iveland;4218;Iveland
4219;Evje og Hornnes;4219;Evje og Hornnes
1826;Hattfjelldal;1826;Aarborte - Hattfjelldal
4220;Bygland;4220;Bygland
4221;Valle;4221;Valle
4222;Bykle;4222;Bykle
4223;Vennesla;4223;Vennesla
1827;Dønna;1827;Dønna
4224;Åseral;4224;Åseral
4225;Lyngdal;4225;Lyngdal
1828;Nesna;1828;Nesna
4226;Hægebostad;4226;Hægebostad
4227;Kvinesdal;4227;Kvinesdal
1832;Hemnes;1832;Hemnes
4228;Sirdal;4228;Sirdal
1833;Rana;1833;Rana
1834;Lurøy;1834;Lurøy
1835;Træna;1835;Træna
1836;Rødøy;1836;Rødøy
1571;Halsa (-2019);5055;Heim
1837;Meløy;1837;Meløy
1838;Gildeskål;1838;Gildeskål
1839;Beiarn;1839;Beiarn
1840;Saltdal;1840;Saltdal
1841;Fauske - Fuossko;1841;Fauske - Fuossko
1845;Sørfold;1845;Sørfold
1848;Steigen;1848;Steigen
